Date du document;Document d'achat;Magasin cédant;Magasin;Groupe d'acheteurs;Poste;Article;Désignation;Quantité de commande;Reste à livrer (quantité);Unité d'achat;Historique commande/documentation appels;Devise;Prix net;Valeur nette de cde;Division;Nom du fournisseur
11/04/2005;4500014910;;;PRY;10;101238000;Assets Tranche 2 / 2B;21566129;0;VAL;;EUR;1;21566129;PRNY;INCO
26/07/2005;4500016097;;;PRY;10;101238000;Travaux en cours;1;0;VAL;;XPF;1;1;PRNY;EEC
26/04/2006;4500018808;;;PRY;10;101238100;Capsule Crema Aroma;100;0;UNI;@0N\QHistorique commande/documentat@;XPF;60;6000;PRNY;LA CASE A CAFE
26/04/2006;4500018808;;;PRY;20;101238100;Sucre Stick Lavazza - 1 KG;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;500;500;PRNY;LA CASE A CAFE
26/04/2006;4500018808;;;PRY;30;101238100;Gobelets 15 cl;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;700;700;PRNY;LA CASE A CAFE
19/05/2006;4500019019;;;PRY;10;101238000;Location voiture Philippe JULIENNE;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;31000;31000;PRNY;MENCAR/EUROPCAR
19/05/2006;4500019019;;;PRY;20;101238100;Carburant;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;2123;2123;PRNY;MENCAR/EUROPCAR
08/06/2006;4500019171;;;PRY;10;101238100;Capsule Crema Aroma;100;0;UNI;@0N\QHistorique commande/documentat@;XPF;60;6000;PRNY;LA CASE A CAFE
08/06/2006;4500019171;;;PRY;20;101238100;Sucre stick (200);1;0;UNI;@0N\QHistorique commande/documentat@;XPF;500;500;PRNY;LA CASE A CAFE
08/06/2006;4500019171;;;PRY;30;101238100;100 gobelets;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;700;700;PRNY;LA CASE A CAFE
09/06/2006;4500019203;;;PRY;10;101238100;Gobelets Malongo 10cl * 50;200;0;UNI;@0N\QHistorique commande/documentat@;XPF;8;1600;PRNY;LA CAPSULE - MALONGO CAFES
14/06/2006;4500019262;;;PRY;10;101238100;Cartouche HP N°22;10;0;UNI;@0N\QHistorique commande/documentat@;XPF;2380;23800;PRNY;BARRAU BUSINESS SYSTEMS
20/06/2006;4500019313;;;PRY;10;101238000;Installation de Sharpdesk sur un poste;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;8500;8500;PRNY;ABI  SERVICES
26/06/2006;4500019376;;;PRY;10;101238100;Table ronde diam 103 A.TALAGRAND;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;42000;42000;PRNY;DARTY CTRE VILLE (ancien connexion)
