DATE;COMMANDE;ARTICLE;DESIGNATION;QTE;DEVISE;PRIX_U;VALEUR;FOURNISSEUR
11/04/2005;4500014910;101238000;Assets Tranche 2 / 2B;21566129;EUR;1;21566129;INCO
26/07/2005;4500016097;101238000;Travaux en cours;1;XPF;1;1;EEC
26/04/2006;4500018808;101238100;Capsule Crema Aroma;100;XPF;60;6000;LA CASE A CAFE
26/04/2006;4500018808;101238100;Sucre Stick Lavazza - 1 KG;1;XPF;500;500;LA CASE A CAFE
26/04/2006;4500018808;101238100;Gobelets 15 cl;1;XPF;700;700;LA CASE A CAFE
19/05/2006;4500019019;101238000;Location voiture Philippe JULIENNE;1;XPF;31000;31000;MENCAR/EUROPCAR
19/05/2006;4500019019;101238100;Carburant;1;XPF;2123;2123;MENCAR/EUROPCAR
08/06/2006;4500019171;101238100;Capsule Crema Aroma;100;XPF;60;6000;LA CASE A CAFE
08/06/2006;4500019171;101238100;Sucre stick (200);1;XPF;500;500;LA CASE A CAFE
08/06/2006;4500019171;101238100;100 gobelets;1;XPF;700;700;LA CASE A CAFE
09/06/2006;4500019203;101238100;Gobelets Malongo 10cl * 50;200;XPF;8;1600;LA CAPSULE - MALONGO CAFES
14/06/2006;4500019262;101238100;Cartouche HP N°22;10;XPF;2380;23800;BARRAU BUSINESS SYSTEMS
20/06/2006;4500019313;101238000;Installation de Sharpdesk sur un poste;1;XPF;8500;8500;ABI  SERVICES
26/06/2006;4500019376;101238100;Table ronde diam 103 A.TALAGRAND;1;XPF;42000;42000;DARTY CTRE VILLE (ancien connexion)
26/06/2006;4500019378;101238100;Onduleur 600VA NOVA;2;XPF;14155;28310;DARTY CTRE VILLE (ancien connexion)
26/06/2006;4500019383;101238000;Analyse d'eau MES;1;XPF;2230;2230;CALEDONIENNE DES EAUX
26/06/2006;4500019384;101238000;Nettoyage véhicule 229104 NC;1;XPF;7000;7000;SARL DRANTY
05/07/2006;4500019480;101238100;Abonnement annuel Nelles Calédoniennes;300;XPF;130;39000;PPC NE PLUS UTILISE
05/07/2006;4500019481;101238100;Capsule Crema Aroma;100;XPF;60;6000;LA CASE A CAFE
05/07/2006;4500019481;101238100;100 Gobelets 15 cl;2;XPF;700;1400;LA CASE A CAFE
05/07/2006;4500019487;101238000;Main d'oeuvre - MEYER;1;XPF;60000;60000;AXIANS ACTEMIUM CEGELEC OMEXOM
05/07/2006;4500019487;101238000;Main d'oeuvre - ANDRE;1;XPF;60000;60000;AXIANS ACTEMIUM CEGELEC OMEXOM
05/07/2006;4500019487;101238000;Déplacement;1;XPF;70000;70000;AXIANS ACTEMIUM CEGELEC OMEXOM
05/07/2006;4500019487;101238100;Fournitures de matériel;1;XPF;11750;11750;AXIANS ACTEMIUM CEGELEC OMEXOM
05/07/2006;4500019487;101238000;Taxe (4%);1;XPF;10088;10088;AXIANS ACTEMIUM CEGELEC OMEXOM
06/07/2006;4500019505;101238000;Entretien véhicule 229 275 NC;10003;XPF;1;10003;STATION TOTAL DES LYCEES/YOLOPHIL
19/07/2006;4500019637;101238100;Capsule Crema aroma;100;XPF;60;6000;LA CASE A CAFE
19/07/2006;4500019637;101238100;Sucre 200 doses;1;XPF;500;500;LA CASE A CAFE
